,Tissue,MDS1,MDS2
0,root,-1.9092618494013298,9.207771838877203
1,root,-2.1057197552794613,9.568826740642475
2,root,-1.8706074977689755,9.424862257389522
3,root,-0.8934239447518338,8.867778421790245
4,root,-1.2052747548656364,9.194342880082191
5,root,-3.429824086221439,9.181908273989572
6,root,-2.5686937892542763,8.576637779054655
7,root,-2.410214949017042,9.760414128080118
8,root,-3.383654739497812,9.249737938403799
9,root,-3.5425752043011745,9.069415610104866
10,root,-3.253727557545667,8.730309820932082
11,root,-2.475172527558185,8.96533137955206
12,root,-3.839853674122601,8.657462409651373
13,root,-3.036070819295885,9.306706579972193
14,root,-2.6562207703908776,9.00330428858147
15,root,-2.824610331479457,9.700892313218956
16,root,-3.4093070320113865,9.092759618814007
17,root,-2.7262738301230547,9.281935942828438
18,root,-4.161278255218673,9.01543277094363
19,root,-3.871680757155486,8.58146826759264
20,root,-3.1146854103832946,9.339311457848357
21,root,-4.273417907020381,8.957236529703009
22,root,-3.2013979080716792,8.991306461999251
23,root,-4.146902359587681,8.286726234774974
24,root,-4.115165693247372,8.622731272358385
25,root,-4.225457566283057,8.64508565525825
26,root,-4.484203955845156,8.520284566023212
27,root,-4.515014311486089,8.359975229930189
28,root,-3.9537968012293354,8.67671927985494
29,root,-4.307104607377629,8.515927703259496
30,root,-4.657577899827435,8.5499679781883
31,root,-6.414703156975482,6.111039188687293
32,root,-4.847331363718905,7.124204718356833
33,root,-5.190252286821213,6.371295715800282
34,root,-4.00199237841171,5.842819039636935
35,root,-4.928432889781439,5.794768965823972
36,root,-3.880605753863003,5.220709960435802
37,root,-4.746191857540704,6.189332339053237
38,root,-4.959857582285812,5.695165143854818
39,root,-4.266704495319237,5.698471207651381
40,flower,-6.810547382384841,-1.7310060129727174
41,flower,-6.101506274451857,-2.4097397411932597
42,flower,-6.43190507890485,-2.0045440134054306
43,flower,-6.968151408586256,-2.856010583614302
44,flower,-8.397601717490746,-1.1402226017374513
45,flower,-8.910048679671243,-0.47610204100652287
46,flower,-9.118486388358825,-0.9485649869914242
47,flower,7.613897031664842,8.217569454926094
48,root,-7.756216812788065,5.839067206309045
49,root,-7.449342753700052,7.261268137985407
50,root,-5.192522111955625,8.377911785291882
51,root,-7.379881896934745,5.503639350125647
52,root,-8.304228584613918,5.381687851078212
53,root,-5.201127880829097,7.290955899204656
54,leaves,-1.6192796541930883,-0.30487976228038227
55,leaves,-1.7215360813400886,-0.7029629889838283
56,leaves,-1.0230549430897085,-0.2691090156067954
57,leaves,8.407801637553487,2.410605241121282
58,leaves,-3.5427373456682805,-3.329435359590051
59,leaves,-3.4350181626152074,-2.558426485023109
60,leaves,-3.7491462100319657,-2.158117770967545
61,leaves,-1.3394809049448477,-3.205358676832572
62,leaves,-2.177032627205195,-3.1257003767278784
63,leaves,-2.8745788230369627,-2.260775985746432
64,leaves,-3.844455977639146,0.32145130449701254
65,leaves,-2.2269363139047442,-0.44267990496105264
66,leaves,-2.655120575859529,-1.2566271053511786
67,leaves,-2.973775872208234,-0.9116963041906994
68,leaves,-2.7661987237901773,-1.0670340164654886
69,leaves,-2.9157602282140394,-0.3680561225096618
70,leaves,-3.5359381071763885,-0.6165637950446605
71,leaves,-3.4252547902363992,-0.8393760496295479
72,leaves,-3.401208734765878,-0.9919519612318677
73,leaves,-3.7658928485338397,-0.7998328270033916
74,leaves,-2.5281025168685116,-0.5366915667316374
75,leaves,-2.4682952709028783,0.015216113456596988
76,leaves,-2.274721131143625,0.4726662380981299
77,leaves,-2.108998206684929,-0.3865672941496575
78,leaves,-2.381954499345887,0.22705824461456547
79,leaves,-1.1070922024752197,0.3481348480033237
80,leaves,-1.7620947657170494,0.5037607800661082
81,leaves,-0.8880848866745311,-0.19237371074018883
82,leaves,-1.5367020571774312,0.9016606192997789
83,leaves,-2.4320864935856696,-0.24707310253406659
84,leaves,-2.3708441232251958,-0.29612461175040544
85,leaves,-0.30169263705753124,4.245072066883686
86,leaves,-0.20572002494104236,4.092004291534939
87,leaves,1.8572674630749315,-0.7250496195180873
88,leaves,1.7561205254616143,-0.4660263873166246
89,leaves,1.6434718339523546,-0.39435118761091903
90,leaves,2.6092975270505403,-0.14263062936192966
91,leaves,2.430933811745629,-0.4295975372475943
92,leaves,2.4207105464843615,-0.3238265073828132
93,leaves,4.794724684867476,0.20203223699440423
94,leaves,4.6892653454447695,-0.13371931140616697
95,leaves,4.107409571414432,-0.9314074268525856
96,leaves,-0.15751138402298273,-4.749945987651386
97,leaves,-0.8706952987551145,-3.8061745423222146
98,leaves,2.4082841084564635,-4.493424979754255
99,leaves,-1.4839081201358537,-4.944491375351339
100,leaves,-1.357791956884342,-4.450028028612762
